osmid,remap_id
35836100,204
35856376,205
35856377,206
35856924,207
35856925,208
35857532,209
35857542,210
35857547,211
35857550,212
35858257,213
35858266,214
35858274,215
35859802,216
35860242,217
35860251,218
35860252,219
35860890,220
35860899,221
35861493,222
35861498,223
35862224,224
35862230,225
35862246,226
35862527,227
35863261,228
35864175,229
35864448,230
35864450,231
35866207,232
35866357,233
35866359,234
35867274,235
35867281,236
35867290,237
35867305,238
35867598,239
35868032,240
35868040,241
35868883,242
35868901,243
35869360,244
35869368,245
35869956,246
35869958,247
35869960,248
35869965,249
35869971,250
35869977,251
35870320,252
35870323,253
35870328,254
35870348,255
35870747,256
35870751,257
35870774,258
35870781,259
35870782,260
35871119,261
35871124,262
35871130,263
35871132,264
35874511,265
36380666,266
36544039,267
36551783,268
36704260,269
36704368,270
36704414,271
36704472,272
36704579,273
36704581,274
36704808,275
36704810,276
36704814,277
36704815,278
36704818,279
36704821,280
36704825,281
36704830,282
36704846,283
36704851,284
36704890,285
36704892,286
36704893,287
36704894,288
36704900,289
36704903,290
36704941,291
36704944,292
36704952,293
36704959,294
64367553,295
64382848,296
64384543,297
64490206,298
64499347,299
64529291,300
64603538,301
64603697,302
64603903,303
72758365,304
72758368,305
72759646,306
72843112,307
72846241,308
72855718,309
72855723,310
72855730,311
72855736,312
72855743,313
72855764,314
72860539,315
72863075,316
72864050,317
76435338,318
76440368,319
76440384,320
76440394,321
76443702,322
76456794,323
76456803,324
76456804,325
76456805,326
76456821,327
76456822,328
76457109,329
76457113,330
76457116,331
76457123,332
76457133,333
76457134,334
76457139,335
76457143,336
76457145,337
76457475,338
76457477,339
76457480,340
76457481,341
76457576,342
76457579,343
76457580,344
76457599,345
76457600,346
76457617,347
76457683,348
76457684,349
76457858,350
76457861,351
76457870,352
76457874,353
76457875,354
77304678,355
77305568,356
77315189,357
77331934,358
77732047,359
77732049,360
77732581,361
77732582,362
77734114,363
77738854,364
77744964,365
77746327,366
77746331,367
77746332,368
77746334,369
77746337,370
77746338,371
77746341,372
77751976,373
82972304,374
