osmid,remap_id
412475843,408
412475844,409
412475845,410
412475846,411
412475847,412
412475865,413
412475866,414
412475980,415
412475981,416
412475983,417
412475984,418
412475985,419
412475987,420
412475988,421
412476725,422
412476975,423
412476979,424
412476993,425
412477071,426
412477077,427
412477079,428
412477290,429
412477291,430
412477292,431
412477293,432
412477330,433
412477361,434
412477362,435
412477363,436
412477365,437
412477366,438
412477509,439
412477510,440
412477512,441
412477564,442
412477565,443
412477566,444
412477567,445
412477568,446
412477569,447
412477570,448
412477571,449
412477649,450
412477650,451
412477651,452
412477652,453
412477653,454
412477654,455
412477800,456
412477812,457
412477813,458
412478112,459
412478115,460
412479109,461
412479110,462
412479111,463
412479119,464
412479120,465
412479619,466
412479664,467
412480640,468
412480641,469
412480686,470
412480687,471
412480689,472
412480690,473
412480691,474
412481424,475
412481429,476
412483002,477
412483004,478
412483434,479
412483435,480
412483642,481
412485034,482
412485036,483
412485039,484
412485146,485
412485288,486
412485289,487
412485290,488
412485348,489
412485568,490
412485588,491
412485589,492
412486148,493
412486507,494
412486850,495
412486858,496
412489565,497
412489576,498
412490561,499
412564883,500
412727847,501
412727853,502
412727854,503
412727857,504
412727874,505
412727875,506
412727887,507
412727891,508
412727892,509
412727893,510
412728327,511
412728330,512
412728347,513
412728531,514
412728532,515
412728533,516
412728534,517
412728535,518
412728536,519
412728537,520
412754507,521
412754527,522
412754528,523
412754529,524
412754530,525
412754566,526
412759151,527
412759152,528
412759153,529
412759162,530
412759164,531
412759294,532
412759296,533
412759298,534
412759690,535
412759691,536
412759693,537
412759697,538
412759749,539
412760139,540
412760141,541
412760142,542
412760143,543
412760144,544
412760145,545
412760146,546
412760394,547
412760395,548
412760397,549
412760398,550
412760426,551
412760427,552
412760428,553
412760632,554
412760633,555
412760636,556
412760637,557
412760640,558
412761121,559
412761266,560
412761273,561
412761275,562
412761283,563
412761310,564
412761439,565
412761442,566
412767432,567
412767433,568
412767434,569
412767435,570
412767436,571
412767437,572
412767715,573
412767718,574
412768762,575
412769196,576
412770466,577
412770468,578
412772645,579
412772659,580
412772661,581
412772664,582
412772665,583
412772667,584
412772668,585
412772669,586
412772671,587
412772857,588
412774484,589
412774895,590
412774901,591
412774902,592
412774977,593
412775016,594
412775807,595
412775808,596
412775809,597
412780508,598
412780511,599
412780739,600
412780740,601
412780753,602
412780756,603
412780759,604
412946934,605
412946938,606
412947208,607
412947220,608
412947293,609
412947640,610
412948278,611
412951623,612
414087381,613
414087848,614
414087992,615
414089550,616
414089556,617
414090506,618
414091159,619
414092274,620
414093206,621
414093226,622
415667682,623
415669226,624
415985176,625
415985177,626
415985183,627
415985185,628
415992997,629
415993551,630
415993554,631
415993694,632
415993696,633
415993697,634
415993698,635
415993700,636
415993762,637
415993763,638
415993764,639
415993765,640
415993767,641
415993780,642
415993785,643
415993787,644
415993788,645
415993794,646
415993843,647
415993847,648
415993850,649
415993853,650
415993854,651
415993912,652
415993913,653
415993914,654
415993915,655
415993917,656
415993920,657
415994008,658
415994009,659
415994010,660
415994011,661
415994012,662
415994013,663
415994014,664
415994015,665
415994294,666
415994309,667
415994312,668
416055431,669
416055437,670
417643344,671
417643350,672
417643357,673
417643359,674
417643361,675
417643362,676
417643365,677
418792896,678
418792982,679
418792984,680
418793698,681
418794310,682
418794318,683
418794669,684
418795350,685
418795681,686
418795839,687
418795936,688
418797813,689
418797815,690
418803812,691
418805073,692
418805146,693
418805147,694
418806414,695
418806423,696
418807811,697
418807814,698
418807816,699
418807884,700
418807885,701
418807886,702
418807887,703
418807888,704
418807889,705
418808039,706
418808072,707
418808084,708
418808392,709
418808470,710
493138049,711
567877248,712
567877257,713
604389297,714
610579522,715
610579525,716
610579529,717
610579530,718
610579532,719
610579533,720
610579534,721
610579586,722
665770255,723
665772905,724
665776436,725
665776438,726
665776439,727
665776440,728
665776446,729
665776447,730
677291088,731
677291089,732
677291098,733
677291100,734
677291101,735
677291104,736
677291107,737
677291119,738
677292302,739
677292304,740
677292305,741
677292309,742
677292310,743
677292311,744
677292312,745
677292314,746
677292316,747
677292317,748
677292318,749
677292324,750
677292327,751
677292328,752
677292331,753
677292332,754
677292333,755
677292337,756
677292338,757
677292339,758
677292342,759
677292343,760
677292345,761
677292346,762
677292350,763
677292353,764
677292356,765
677292368,766
677292371,767
677292373,768
677292374,769
